"","X.1","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X1","X2"
"1546",2346,"MSTRG.14267|OR1F1",11.6925936330188,-1.44020316567741,0.326840793576873,-4.40643638731917,1.05085150496997e-05,0.000197995474094982,"MSTRG.14267","OR1F1"
"1548",2349,"MSTRG.5398|GPAM",102.442146281829,-2.78213582592199,0.631470278273253,-4.40580645146071,1.05391037066343e-05,0.000198318204359579,"MSTRG.5398","GPAM"
"1550",2353,"MSTRG.39618|AUH",185.230720650604,-1.53243539966513,0.347934038528841,-4.40438482576952,1.06084482896031e-05,0.000199283736207835,"MSTRG.39618","AUH"
"1551",2354,"MSTRG.803|ZBTB8A",15.5065427490308,-6.82221097770297,1.54908103708076,-4.4040374999099,1.06254563853546e-05,0.000199518446535872,"MSTRG.803","ZBTB8A"
"1563",2374,"MSTRG.6462|RTN4RL2",426.048611274546,-1.22994205791141,0.279850929833806,-4.39499007075601,1.10777817172662e-05,0.000206259522942966,"MSTRG.6462","RTN4RL2"
"1569",2387,"MSTRG.12189|BDKRB2",41.6172253453667,-1.23583082478134,0.281567879320382,-4.38910442399985,1.13818410107128e-05,0.000210766709826362,"MSTRG.12189","BDKRB2"
"1571",2391,"MSTRG.20832|PRKCG",2413.91148517717,-1.7936903313552,0.408727852873097,-4.38847100520971,1.14150349473843e-05,0.000211027760244367,"MSTRG.20832","PRKCG"
"1572",2392,"MSTRG.30870|ANKRD33B",620.187738500183,-1.06235950383384,0.242093360529185,-4.38822238458611,1.14280890015646e-05,0.000211180765069882,"MSTRG.30870","ANKRD33B"
"1578",2400,"MSTRG.9632|CUX2",603.748751214446,-1.81766877810688,0.414468075055288,-4.38554592621981,1.15695243583122e-05,0.000213081714869216,"MSTRG.9632","CUX2"
"1580",2403,"MSTRG.38143|PDP1",1329.82050383235,-1.19777497262781,0.273205702223836,-4.38415070724431,1.16439145929204e-05,0.000214184066931448,"MSTRG.38143","PDP1"
"1581",2404,"MSTRG.20230|ZNF780B",15.3818132806114,-4.33320811949813,0.988404147771675,-4.38404485580844,1.16495769702027e-05,0.000214199085373087,"MSTRG.20230","ZNF780B"
"1588",2411,"MSTRG.26611|CAMK1",597.959155925447,-1.1121818832618,0.253972545166134,-4.37914217276624,1.19147384992295e-05,0.000218438519760656,"MSTRG.26611","CAMK1"
"1591",2415,"MSTRG.41999|ATP2B3",854.947803773986,-1.34600780935869,0.307520290732785,-4.37697234921089,1.20339233829728e-05,0.000220258170341269,"MSTRG.41999","ATP2B3"
"1595",2424,"MSTRG.33780|C6orf141",25.8194337074773,-2.40448535006153,0.549954516988791,-4.37215310681872,1.23027197146266e-05,0.000224341921132808,"MSTRG.33780","C6orf141"
"1598",2428,"MSTRG.861|NCDN",4986.40680808997,-1.03605614660575,0.23701744482363,-4.3712231704156,1.23552427681711e-05,0.000224928517643615,"MSTRG.861","NCDN"
"1605",2435,"MSTRG.32220|PCDHGC5",1190.44877364966,-2.12709400613576,0.48685653424111,-4.36903657758519,1.24795865047959e-05,0.000226539089398352,"MSTRG.32220","PCDHGC5"
"1610",2443,"MSTRG.22059|CYP26B1",429.735099172288,-1.37344573872633,0.314764742045706,-4.36340401342314,1.28054139832739e-05,0.000231692553781692,"MSTRG.22059","CYP26B1"
"1615",2450,"MSTRG.4538|ANXA8",12.9434483354089,-1.86926846847156,0.428662660757845,-4.36069814237337,1.29648119127954e-05,0.000233906373946687,"MSTRG.4538","ANXA8"
"1617",2453,"MSTRG.40747|MAP7D2",1293.02798604276,-1.37636005646349,0.315691417425713,-4.35982728858116,1.30165137399453e-05,0.000234551952846743,"MSTRG.40747","MAP7D2"
"1622",2460,"MSTRG.27697|PLCXD2",431.920486774534,-1.11899131698755,0.257060786056572,-4.35302223319776,1.34273527032881e-05,0.00024126660332957,"MSTRG.27697","PLCXD2"
"1624",2465,"MSTRG.12997|HDC",6.70047837460262,-1.87525988214182,0.431247025779558,-4.34845870241528,1.37097627474607e-05,0.000245841352114911,"MSTRG.12997","HDC"
"1627",2471,"MSTRG.25729|SLC7A4",79.5178428166691,-1.42878657417072,0.328834766176532,-4.34499852550167,1.39276598684258e-05,0.000249142218334341,"MSTRG.25729","SLC7A4"
"1628",2472,"MSTRG.7122|PAK1",1181.35725651296,-2.0267847220692,0.466484626483805,-4.3448049667711,1.39399458554431e-05,0.00024926111921614,"MSTRG.7122","PAK1"
"1631",2481,"MSTRG.1933|SLC6A17",2709.47021642704,-1.03393299025575,0.238176454801134,-4.34103778695941,1.4181133052912e-05,0.000252653947281264,"MSTRG.1933","SLC6A17"
"1633",2483,"MSTRG.30915|BASP1-AS1",52.4409512595735,-1.17003227023754,0.269607482542752,-4.33976186121616,1.42637204496649e-05,0.000253920648939223,"MSTRG.30915","BASP1-AS1"
"1634",2484,"MSTRG.1529|NEGR1",2212.63437903065,-1.06001046674295,0.244269120314108,-4.33951891004428,1.42794979534802e-05,0.000254099182181857,"MSTRG.1529","NEGR1"
"1637",2488,"MSTRG.6187|BDNF",287.70824801444,-1.39680860860569,0.321972266704788,-4.33828858274432,1.43596525880357e-05,0.000255114696019435,"MSTRG.6187","BDNF"
"1641",2494,"MSTRG.39491|RORB",615.986035017227,-1.2211569303547,0.281763778392138,-4.33397414431029,1.46441381731773e-05,0.000259542981367596,"MSTRG.39491","RORB"
"1650",2506,"MSTRG.12764|BUB1B",13.3675481043245,-2.34816708067101,0.542501499642024,-4.32840661679365,1.50191989740244e-05,0.00026491565564638,"MSTRG.12764","BUB1B"
"1657",2516,"MSTRG.30420|NPY2R",48.3874675124104,-1.67469293205878,0.387230974279875,-4.32479074065078,1.52676721719873e-05,0.000268227678042335,"MSTRG.30420","NPY2R"
"1662",2525,"MSTRG.16853|GPR179",186.621577980511,-1.13370770611758,0.262301797636026,-4.32214996746124,1.54516100615862e-05,0.000270412010360027,"MSTRG.16853","GPR179"
"1664",2529,"MSTRG.38272|NCALD",2250.72188685127,-1.48587836496248,0.343974581893986,-4.31973303603124,1.56218067071198e-05,0.000273038790062518,"MSTRG.38272","NCALD"
"1675",2548,"MSTRG.4518|ANXA8L1",11.1324708683116,-2.21989152477225,0.514907291348113,-4.31124507668207,1.62337856180166e-05,0.000281619227585389,"MSTRG.4518","ANXA8L1"
"1677",2552,"MSTRG.28504|NCEH1",758.337593932767,-2.22878566403269,0.517351390649072,-4.30806933994405,1.64685761145076e-05,0.000285244514660449,"MSTRG.28504","NCEH1"
"1680",2556,"MSTRG.29546|ARL9",36.352887689678,-1.55314454923707,0.360684820491906,-4.30609901220371,1.66158707478085e-05,0.000287345351641093,"MSTRG.29546","ARL9"
"1683",2560,"MSTRG.22180|TRABD2A",55.6578206647303,-1.45407889282488,0.337833799382104,-4.30412497353546,1.67647013775565e-05,0.000289466144644825,"MSTRG.22180","TRABD2A"
"1688",2565,"MSTRG.26213|KCNJ4",499.990829325485,-1.34645077972253,0.312883096578063,-4.30336695861293,1.68221880276038e-05,0.000289892536138846,"MSTRG.26213","KCNJ4"
"1689",2566,"MSTRG.14476|SHISA9",601.754092857395,-1.22176133684216,0.283950419182574,-4.30272770985625,1.68708136068043e-05,0.000290520725642155,"MSTRG.14476","SHISA9"
"1693",2571,"MSTRG.32270|KCTD16",672.044518342064,-1.12245042354207,0.260974437824399,-4.30099757240337,1.70030923193209e-05,0.000292326210306737,"MSTRG.32270","KCTD16"
"1697",2578,"ENSG00000286285",17.0646609926646,-1.98195906488765,0.461146177316769,-4.29789763501869,1.72425755199014e-05,0.000295638604783042,"ENSG00000286285","ENSG00000286285"
"1698",2579,"MSTRG.9630|LINC01404",13.9182845725436,-2.47488070697092,0.575857989007124,-4.29772748527468,1.72558129236902e-05,0.000295750850272568,"MSTRG.9630","LINC01404"
"1699",2580,"MSTRG.32315|HTR4",32.4948803717346,-1.38125558581372,0.321429768140726,-4.29722360129692,1.72950711938709e-05,0.000296308812756388,"MSTRG.32315","HTR4"
"1702",2585,"MSTRG.41593|TRPC5",181.603333750044,-1.02890667966156,0.239606718057312,-4.2941478770034,1.75365564732022e-05,0.000299864939740225,"MSTRG.41593","TRPC5"
"1709",2594,"MSTRG.26090|LINC01643",8.96320398450682,-3.48683095814213,0.812724390950072,-4.29029938927518,1.78432406175832e-05,0.000304050471001701,"MSTRG.26090","LINC01643"
"1712",2600,"MSTRG.27192|CAMKV",2936.77231069111,-1.08055518292803,0.251970099187852,-4.28842623156822,1.7994354041912e-05,0.000305917860523305,"MSTRG.27192","CAMKV"
"1713",2601,"MSTRG.40621|NLGN4X",160.411403721573,-2.63974984713011,0.615596185259203,-4.28811924170487,1.80192358563142e-05,0.000306147476601769,"MSTRG.40621","NLGN4X"
"1714",2602,"MSTRG.41156|ARHGEF9",2604.18936087168,-1.31709251724902,0.307151415709003,-4.28808870767777,1.8021712459115e-05,0.000306147476601769,"MSTRG.41156","ARHGEF9"
"1717",2605,"MSTRG.1522|PTGER3",200.024232259997,-1.45077707082505,0.338395456852352,-4.28722384254126,1.80919961574369e-05,0.000306987491036863,"MSTRG.1522","PTGER3"
"1719",2607,"MSTRG.23578|ADAM23",1455.63724670287,-1.20617392991599,0.281366271604816,-4.28684619174996,1.8122767977759e-05,0.000307165071548808,"MSTRG.23578","ADAM23"
"1724",2616,"MSTRG.21681|PREPL",4111.17767287811,-1.18528879312235,0.276717470169422,-4.28338981415468,1.84067272445273e-05,0.000311014586262461,"MSTRG.21681","PREPL"
"1725",2617,"MSTRG.26163|ELFN2",270.552018127988,-4.06611096866362,0.949315550869789,-4.28320274005639,1.84222166339914e-05,0.00031115736326163,"MSTRG.26163","ELFN2"
"1732",2626,"MSTRG.23939|NGEF",1118.97308809915,-1.16928565956618,0.273180991643122,-4.28025995708263,1.86675135827477e-05,0.00031421989161638,"MSTRG.23939","NGEF"
"1734",2630,"MSTRG.4577|OGDHL",384.392352314682,-1.80744166795161,0.422682293064973,-4.27612345633266,1.90175788456601e-05,0.00031957570429147,"MSTRG.4577","OGDHL"
"1735",2631,"MSTRG.17090|FAM171A2",242.75308632894,-1.15062859686041,0.269085319605041,-4.27607347197269,1.90218469297963e-05,0.00031957570429147,"MSTRG.17090","FAM171A2"
"1738",2634,"MSTRG.10488|SUCLA2-AS1",9.21732374514448,-1.39340851446747,0.325899744370604,-4.27557412528351,1.90645354548424e-05,0.000319928092701194,"MSTRG.10488","SUCLA2-AS1"
"1743",2644,"MSTRG.28884|ANKRD18DP",13.384992532439,-1.26475354114778,0.296154647188443,-4.2705848216625,1.94961052979153e-05,0.000325932997873846,"MSTRG.28884","ANKRD18DP"
"1744",2647,"MSTRG.16888|STAC2",590.07792772316,-1.08778322490091,0.254828324759722,-4.26869040530161,1.96623947419336e-05,0.000328340450465792,"MSTRG.16888","STAC2"
"1746",2650,"MSTRG.11396|SSTR1",393.901513026531,-1.20088721055228,0.281387707497719,-4.26773159791288,1.97470715894594e-05,0.000329381154112183,"MSTRG.11396","SSTR1"
"1758",2682,"MSTRG.9299|ATP2B1",2528.37436182623,-1.43028471986166,0.335985269798325,-4.25698638729069,2.07200966472527e-05,0.000341413154650869,"MSTRG.9299","ATP2B1"
