miRNA,Targetted_mRNA
hsa-miR-6754-3p,TNIP3
hsa-miR-6754-3p,RAB3B
hsa-miR-6754-3p,SYN3
hsa-miR-6754-3p,NPHS1
hsa-miR-6754-3p,SYNGR1
hsa-miR-6754-3p,HTR3B
hsa-miR-6754-3p,KALRN
hsa-miR-6754-3p,TCHH
hsa-miR-6754-3p,WIF1
hsa-miR-6754-3p,SEMA3E
hsa-miR-6754-3p,NTNG1
hsa-miR-6754-3p,CCKBR
hsa-miR-6754-3p,RAB6B
hsa-miR-6754-3p,BICDL2
hsa-miR-6754-3p,ADRB1
hsa-miR-6754-3p,HTR6
hsa-miR-6754-3p,OPRD1
hsa-miR-6754-3p,TRIM72
hsa-miR-6754-3p,ESCO2
hsa-miR-6754-3p,CD68
hsa-miR-6754-3p,SSTR2
hsa-miR-6754-3p,PAX7
hsa-miR-6754-3p,MPPED2
hsa-miR-6754-3p,CGREF1
hsa-miR-6754-3p,BUB1B
hsa-miR-6762-3p,CHRND
hsa-miR-6762-3p,DNAJC6
hsa-miR-6762-3p,KLHL3
hsa-miR-6762-3p,IL12RB2
hsa-miR-6762-3p,TTPAL
hsa-miR-6762-3p,SLIT3
hsa-miR-6762-3p,GRM1
hsa-miR-6762-3p,ZBTB18
hsa-miR-6762-3p,COL26A1
hsa-miR-6762-3p,HPCAL4
hsa-miR-6762-3p,CNGB1
hsa-miR-6762-3p,SLC45A4
hsa-miR-6762-3p,ERFE
hsa-miR-6762-3p,FGF22
hsa-miR-6762-3p,DMTN
hsa-miR-6762-3p,HEXIM2
hsa-miR-6762-3p,RAB15
hsa-miR-6762-3p,THY1
hsa-miR-6762-3p,PITPNM3
hsa-miR-6762-3p,PCDHA5
hsa-miR-6762-3p,CACNG8
hsa-miR-6762-3p,KIRREL2
hsa-miR-6762-3p,JPH4
hsa-miR-6762-3p,PLCD4
hsa-miR-6762-3p,PNMA6A
hsa-miR-6762-3p,SCRT2
hsa-miR-6762-3p,MAP3K9
